'sample interval','ECG','ECG'
'0.004 sec','mV','mV'
0,-0.640,-0.070
1,-0.910,-0.065
2,-0.935,-0.060
3,-0.930,-0.035
4,-0.935,-0.040
5,-0.955,-0.055
6,-0.950,-0.060
7,-0.950,-0.055
8,-0.940,-0.030
9,-0.925,0.000
10,-0.890,0.025
11,-0.870,0.055
12,-0.830,0.080
13,-0.800,0.120
14,-0.745,0.115
15,-0.695,0.110
16,-0.635,0.120
17,-0.570,0.145
18,-0.505,0.165
19,-0.430,0.180
20,-0.415,0.215
21,-0.390,0.190
22,-0.360,0.210
23,-0.350,0.180
24,-0.335,0.215
25,-0.320,0.230
26,-0.285,0.245
27,-0.250,0.245
28,-0.245,0.260
29,-0.240,0.270
30,-0.245,0.260
31,-0.240,0.245
32,-0.220,0.250
33,-0.225,0.250
34,-0.185,0.270
35,-0.155,0.285
36,-0.155,0.325
37,-0.140,0.300
38,-0.140,0.305
39,-0.130,0.280
40,-0.130,0.285
41,-0.130,0.290
42,-0.090,0.305
43,-0.095,0.320
44,-0.050,0.335
45,-0.040,0.360
46,-0.035,0.350
47,-0.050,0.345
48,-0.030,0.345
49,0.000,0.335
50,0.015,0.325
51,0.035,0.360
52,0.070,0.370
53,0.080,0.380
54,0.090,0.360
55,0.090,0.375
56,0.085,0.345
57,0.100,0.345
58,0.110,0.345
59,0.145,0.355
60,0.170,0.345
61,0.140,0.370
62,0.145,0.350
63,0.150,0.345
64,0.105,0.290
65,0.090,0.300
66,0.055,0.295
67,0.035,0.290
68,0.000,0.295
69,-0.010,0.295
70,-0.030,0.300
71,-0.045,0.285
72,-0.105,0.250
73,-0.130,0.245
74,-0.155,0.215
75,-0.145,0.230
76,-0.190,0.215
77,-0.190,0.235
78,-0.180,0.240
79,-0.215,0.225
80,-0.230,0.220
81,-0.260,0.175
82,-0.285,0.160
83,-0.300,0.155
84,-0.310,0.155
85,-0.335,0.165
86,-0.355,0.180
87,-0.390,0.175
88,-0.430,0.135
89,-0.445,0.155
90,-0.490,0.115
91,-0.470,0.115
92,-0.475,0.125
93,-0.485,0.130
94,-0.475,0.130
95,-0.475,0.150
96,-0.495,0.140
97,-0.520,0.135
98,-0.530,0.115
99,-0.545,0.105
100,-0.560,0.095
101,-0.535,0.115
102,-0.540,0.110
103,-0.525,0.140
104,-0.535,0.135
105,-0.570,0.125
106,-0.580,0.090
107,-0.570,0.105
108,-0.580,0.070
109,-0.555,0.090
110,-0.560,0.110
111,-0.545,0.110
112,-0.565,0.115
113,-0.550,0.105
114,-0.585,0.110
115,-0.585,0.085
116,-0.590,0.075
117,-0.580,0.085
118,-0.565,0.130
119,-0.530,0.130
120,-0.515,0.125
121,-0.560,0.130
122,-0.555,0.130
123,-0.580,0.110
124,-0.560,0.120
125,-0.525,0.095
126,-0.475,0.115
127,-0.460,0.110
128,-0.440,0.045
129,-0.490,0.025
130,-0.500,-0.035
131,-0.600,-0.065
132,-0.725,-0.110
133,-0.845,-0.110
134,-0.955,-0.120
135,-1.030,-0.105
136,-1.070,-0.115
137,-1.105,-0.095
138,-1.110,-0.105
139,-1.145,-0.090
140,-1.180,-0.095
141,-1.135,-0.095
142,-1.130,-0.070
143,-1.080,-0.065
144,-1.045,-0.040
145,-1.060,-0.040
146,-1.050,-0.015
147,-1.015,0.010
148,-0.995,0.040
149,-0.950,0.040
150,-0.900,0.060
151,-0.815,0.085
152,-0.730,0.120
153,-0.685,0.140
154,-0.640,0.145
155,-0.615,0.160
156,-0.585,0.155
157,-0.565,0.160
158,-0.500,0.175
159,-0.460,0.190
160,-0.410,0.215
161,-0.375,0.220
162,-0.360,0.220
163,-0.355,0.230
164,-0.345,0.205
165,-0.350,0.240
166,-0.330,0.225
167,-0.290,0.250
168,-0.250,0.255
169,-0.220,0.280
170,-0.205,0.265
171,-0.225,0.275
172,-0.220,0.255
173,-0.195,0.255
174,-0.185,0.260
175,-0.160,0.270
176,-0.120,0.280
177,-0.095,0.305
178,-0.105,0.310
179,-0.080,0.310
180,-0.060,0.300
181,-0.075,0.295
182,-0.050,0.315
183,-0.035,0.305
184,0.000,0.325
185,0.025,0.355
186,0.060,0.375
187,0.100,0.375
188,0.090,0.360
189,0.080,0.335
190,0.075,0.325
191,0.115,0.355
192,0.130,0.350
193,0.155,0.340
194,0.155,0.345
195,0.175,0.370
196,0.165,0.355
197,0.145,0.310
198,0.125,0.295
