'sample interval','ECG1','ECG2'
'0.004 sec','mV','mV'
0,-1.285,0.240
1,0.420,0.280
2,1.350,0.410
3,-0.470,0.470
4,-1.550,0.350
5,0.200,0.395
6,1.360,0.495
7,-0.275,0.485
8,-1.640,0.400
9,-0.135,0.390
10,1.470,0.505
11,0.290,0.540
12,-1.570,0.415
13,-0.620,0.355
14,1.270,0.395
15,0.550,0.470
16,-1.530,0.345
17,-1.130,0.205
18,0.915,0.250
19,0.675,0.310
20,-1.445,0.210
21,-1.305,0.055
22,0.765,0.060
23,0.715,0.140
24,-1.410,0.050
25,-1.450,-0.105
26,0.630,-0.105
27,0.605,-0.015
28,-1.465,-0.060
29,-1.440,-0.190
30,0.685,-0.130
31,0.760,-0.080
32,-1.375,-0.100
33,-1.530,-0.195
34,0.545,-0.170
35,0.715,-0.090
36,-1.315,-0.120
37,-1.605,-0.210
38,0.445,-0.160
39,1.015,-0.055
40,-0.910,-0.070
41,-1.765,-0.210
42,0.100,-0.180
43,1.190,-0.060
44,-0.480,-0.075
45,-1.885,-0.195
46,-0.375,-0.205
47,1.140,-0.110
48,-0.195,-0.025
49,-1.830,-0.150
50,-0.585,-0.195
51,1.140,-0.090
52,0.155,-0.035
53,-1.685,-0.125
54,-0.800,-0.180
55,1.065,-0.120
56,0.220,-0.030
57,-1.675,-0.130
58,-0.965,-0.210
59,1.010,-0.120
60,0.420,-0.055
61,-1.580,-0.060
62,-1.025,-0.160
63,0.945,-0.110
64,0.495,-0.030
65,-1.530,-0.090
66,-1.280,-0.160
67,0.785,-0.105
68,0.725,-0.020
69,-1.320,-0.105
70,-1.495,-0.210
71,0.570,-0.165
72,0.985,-0.060
73,-1.015,-0.075
74,-1.750,-0.210
75,0.155,-0.205
76,1.015,-0.070
77,-0.875,-0.055
78,-1.800,-0.200
79,0.005,-0.200
80,1.120,-0.090
81,-0.515,-0.070
82,-1.850,-0.240
83,-0.245,-0.200
84,1.165,-0.110
85,-0.235,-0.080
86,-1.795,-0.215
87,-0.455,-0.250
88,1.110,-0.150
89,-0.150,-0.070
90,-1.745,-0.145
91,-0.420,-0.250
92,1.130,-0.130
93,-0.130,-0.100
94,-1.760,-0.190
95,-0.525,-0.225
96,1.145,-0.125
97,-0.045,-0.095
98,-1.705,-0.210
99,-0.505,-0.200
100,1.210,-0.120
101,0.105,-0.070
102,-1.640,-0.170
103,-0.575,-0.145
104,1.235,0.015
105,0.245,0.120
106,-1.635,0.050
107,-0.750,0.040
108,1.260,0.110
109,0.705,0.115
110,-1.385,0.000
111,-0.990,-0.175
112,1.050,-0.115
113,0.840,-0.095
114,-1.290,-0.240
115,-1.420,-0.350
116,0.670,-0.310
117,0.880,-0.160
118,-1.200,-0.155
119,-1.500,-0.285
120,0.530,-0.270
121,0.845,-0.155
122,-1.225,-0.140
123,-1.655,-0.250
124,0.350,-0.255
125,0.820,-0.180
126,-1.185,-0.175
127,-1.710,-0.320
128,0.330,-0.300
129,0.875,-0.190
130,-1.090,-0.175
131,-1.690,-0.310
132,0.280,-0.305
133,0.885,-0.185
134,-1.045,-0.225
135,-1.750,-0.295
136,0.175,-0.280
137,1.020,-0.135
138,-0.870,0.050
139,-1.855,0.135
140,0.040,0.225
141,1.590,0.315
142,0.375,0.380
143,-0.855,0.540
144,0.720,0.110
145,2.395,-0.585
146,1.375,-1.195
147,-0.930,-1.590
148,-0.605,-1.960
149,0.845,-2.170
150,-0.265,-2.265
151,-2.320,-2.665
152,-1.430,-2.605
153,0.730,-1.840
154,0.275,-1.150
155,-1.625,-0.735
156,-1.000,-0.445
157,0.925,-0.120
158,0.315,0.035
159,-1.645,-0.045
160,-1.105,-0.110
161,0.885,-0.050
162,0.415,0.015
163,-1.620,-0.025
164,-1.345,-0.130
165,0.760,-0.045
166,0.755,0.035
167,-1.355,-0.010
168,-1.610,-0.095
169,0.435,-0.060
170,1.020,0.045
171,-0.930,0.050
172,-1.895,-0.105
173,-0.115,-0.055
174,1.180,0.065
175,-0.370,0.090
176,-1.910,-0.020
177,-0.550,-0.015
178,1.105,0.060
179,0.070,0.120
180,-1.770,0.050
181,-0.775,-0.020
182,1.090,0.130
183,0.375,0.200
184,-1.620,0.125
185,-0.960,0.025
186,1.005,0.145
187,0.520,0.235
