'sample interval','ECG1','ECG2'
'0.0078125 sec','mV','mV'
0,-0.095,-0.025
1,-0.085,-0.035
2,-0.085,-0.025
3,-0.085,-0.015
4,-0.065,-0.005
5,-0.045,-0.015
6,-0.045,-0.005
7,-0.045,0.015
8,-0.045,0.025
9,-0.025,0.055
10,-0.035,0.065
11,-0.005,0.075
12,0.005,0.105
13,0.005,0.115
14,-0.005,0.135
15,-0.015,0.145
16,-0.035,0.135
17,-0.035,0.115
18,-0.065,0.095
19,-0.075,0.085
20,-0.105,0.075
21,-0.105,0.065
22,-0.055,0.055
23,-0.005,0.045
24,0.015,0.025
25,0.005,-0.005
26,0.015,-0.025
27,-0.005,-0.055
28,-0.025,-0.075
29,-0.025,-0.085
30,-0.005,-0.075
31,-0.025,-0.065
32,-0.005,-0.065
33,-0.015,-0.075
34,-0.005,-0.065
35,-0.005,-0.055
36,-0.015,-0.055
37,-0.005,-0.065
38,-0.005,-0.075
39,0.005,-0.055
40,-0.005,-0.065
41,-0.015,-0.055
42,0.005,-0.065
43,0.005,-0.075
44,-0.015,-0.075
45,-0.015,-0.065
46,-0.025,-0.065
47,-0.015,-0.025
48,0.015,-0.005
49,0.025,0.005
50,0.045,0.005
51,0.105,0.005
52,0.095,-0.005
53,0.135,-0.005
54,0.155,-0.035
55,0.105,-0.065
56,0.035,-0.065
57,-0.025,-0.105
58,-0.065,-0.105
59,-0.075,-0.105
60,-0.085,-0.105
61,-0.105,-0.115
62,-0.095,-0.105
63,-0.105,-0.115
64,-0.095,-0.115
65,-0.075,-0.105
66,-0.135,-0.075
67,-0.105,-0.035
68,0.145,-0.085
69,0.965,-0.505
70,1.825,-1.045
71,0.415,-0.985
72,-0.835,-0.495
73,-0.765,-0.145
74,-0.345,-0.025
75,-0.145,-0.005
76,-0.125,-0.005
77,-0.115,-0.005
78,-0.115,-0.005
79,-0.115,-0.005
80,-0.115,0.015
81,-0.115,0.015
82,-0.105,0.005
83,-0.085,0.025
84,-0.085,0.035
85,-0.095,0.025
86,-0.085,0.055
87,-0.055,0.055
88,-0.045,0.075
89,-0.045,0.075
90,-0.035,0.105
91,-0.025,0.115
92,-0.015,0.125
93,-0.025,0.145
94,-0.025,0.155
95,-0.045,0.155
96,-0.055,0.145
97,-0.085,0.115
98,-0.115,0.095
99,-0.135,0.085
100,-0.145,0.065
101,-0.115,0.055
102,-0.085,0.045
103,-0.045,0.065
104,-0.025,0.045
105,-0.015,0.015
106,-0.015,-0.015
107,-0.025,-0.035
108,-0.055,-0.045
109,-0.055,-0.055
110,-0.055,-0.055
111,-0.035,-0.045
112,-0.035,-0.055
113,-0.035,-0.055
114,-0.035,-0.045
115,-0.035,-0.045
116,-0.045,-0.035
117,-0.035,-0.055
118,-0.045,-0.055
119,-0.045,-0.045
120,-0.045,-0.045
121,-0.035,-0.055
122,-0.035,-0.065
123,-0.055,-0.065
124,-0.065,-0.065
125,-0.065,-0.075
126,-0.075,-0.065
127,-0.065,-0.045
128,-0.045,-0.005
129,-0.005,0.005
130,0.005,0.005
131,0.065,0.005
132,0.065,-0.015
133,0.095,-0.005
134,0.095,-0.005
135,0.115,-0.055
136,0.035,-0.085
137,-0.015,-0.075
138,-0.075,-0.115
139,-0.115,-0.125
140,-0.135,-0.135
141,-0.135,-0.135
142,-0.145,-0.135
143,-0.155,-0.125
144,-0.135,-0.135
145,-0.135,-0.145
146,-0.145,-0.105
147,-0.185,-0.065
148,-0.035,-0.005
149,0.445,-0.355
150,1.485,-0.795
151,1.815,-1.335
152,-0.095,-1.015
153,-0.965,-0.405
154,-0.615,-0.085
155,-0.265,-0.005
156,-0.165,-0.025
157,-0.165,-0.035
158,-0.165,-0.045
159,-0.155,-0.025
160,-0.155,-0.015
161,-0.135,-0.025
162,-0.145,-0.025
163,-0.135,-0.005
164,-0.135,0.005
165,-0.135,0.005
166,-0.115,0.015
167,-0.115,0.035
168,-0.105,0.065
169,-0.105,0.075
170,-0.095,0.085
171,-0.065,0.095
172,-0.075,0.125
173,-0.065,0.145
174,-0.065,0.165
175,-0.055,0.155
176,-0.075,0.175
177,-0.095,0.175
178,-0.105,0.145
179,-0.125,0.135
180,-0.135,0.125
181,-0.155,0.115
182,-0.145,0.085
183,-0.135,0.085
184,-0.085,0.055
185,-0.065,0.025
186,-0.055,-0.025
187,-0.065,-0.035
188,-0.075,-0.075
189,-0.085,-0.075
190,-0.105,-0.095
191,-0.095,-0.075
192,-0.095,-0.085
193,-0.085,-0.075
194,-0.085,-0.085
195,-0.075,-0.075
196,-0.075,-0.075
197,-0.095,-0.065
198,-0.095,-0.075
199,-0.075,-0.075
200,-0.075,-0.085
201,-0.075,-0.085
202,-0.085,-0.095
203,-0.085,-0.085
204,-0.105,-0.095
205,-0.095,-0.105
206,-0.085,-0.105
207,-0.115,-0.085
208,-0.065,-0.035
209,-0.045,-0.025
210,-0.025,-0.015
211,0.025,-0.035
212,0.015,-0.065
213,0.065,-0.055
214,0.045,-0.045
215,0.065,-0.105
216,-0.025,-0.115
217,-0.055,-0.135
218,-0.115,-0.155
