'sample interval','ECG1','ECG2'
'0.0078125 sec','mV','mV'
0,0.675,0.735
1,0.665,0.735
2,0.655,0.725
3,0.645,0.715
4,0.635,0.705
5,0.625,0.695
6,0.605,0.685
7,0.595,0.665
8,0.585,0.655
9,0.575,0.655
10,0.565,0.645
11,0.555,0.635
12,0.545,0.625
13,0.535,0.615
14,0.515,0.605
15,0.515,0.585
16,0.505,0.575
17,0.495,0.575
18,0.475,0.555
19,0.475,0.555
20,0.475,0.545
21,0.465,0.535
22,0.445,0.525
23,0.445,0.515
24,0.435,0.515
25,0.425,0.495
26,0.415,0.495
27,0.415,0.485
28,0.395,0.475
29,0.395,0.475
30,0.385,0.465
31,0.375,0.445
32,0.365,0.455
33,0.365,0.435
34,0.355,0.425
35,0.345,0.425
36,0.335,0.415
37,0.335,0.415
38,0.315,0.405
39,0.315,0.385
40,0.295,0.385
41,0.295,0.385
42,0.275,0.375
43,0.285,0.365
44,0.275,0.365
45,0.265,0.355
46,0.255,0.345
47,0.255,0.335
48,0.245,0.335
49,0.235,0.325
50,0.225,0.315
51,0.215,0.315
52,0.215,0.315
53,0.205,0.305
54,0.195,0.295
55,0.195,0.285
56,0.185,0.285
57,0.165,0.275
58,0.155,0.265
59,0.135,0.245
60,-0.375,0.165
61,-0.955,-0.725
62,-0.885,-0.695
63,-0.865,-0.685
64,-0.855,-0.665
65,-0.845,-0.665
66,-0.845,-0.665
67,-0.835,-0.655
68,-0.815,-0.645
69,-0.805,-0.635
70,-0.805,-0.635
71,-0.785,-0.615
72,-0.775,-0.605
73,-0.775,-0.595
74,-0.765,-0.585
75,-0.745,-0.585
76,-0.735,-0.565
77,-0.735,-0.555
78,-0.725,-0.555
79,-0.705,-0.545
80,-0.695,-0.535
81,-0.695,-0.525
82,-0.685,-0.515
83,-0.675,-0.515
84,-0.665,-0.505
85,-0.655,-0.495
86,-0.655,-0.485
87,-0.635,-0.485
88,-0.625,-0.475
89,-0.625,-0.465
90,-0.615,-0.455
91,-0.605,-0.445
92,-0.595,-0.445
93,-0.585,-0.435
94,-0.585,-0.425
95,-0.575,-0.415
96,-0.555,-0.405
97,-0.555,-0.395
98,-0.545,-0.395
99,-0.535,-0.395
100,-0.525,-0.385
101,-0.515,-0.375
102,-0.515,-0.375
103,-0.505,-0.365
104,-0.495,-0.355
105,-0.485,-0.345
106,-0.475,-0.345
107,-0.465,-0.335
108,-0.455,-0.335
109,-0.445,-0.325
110,-0.445,-0.315
111,-0.425,-0.315
112,-0.415,-0.315
113,-0.415,-0.295
114,-0.415,-0.295
115,-0.395,-0.285
116,-0.385,-0.285
117,-0.375,-0.275
118,-0.375,-0.265
119,-0.375,-0.265
120,-0.365,-0.255
121,-0.355,-0.245
122,-0.335,-0.245
123,-0.315,-0.225
124,-0.145,-0.235
125,0.755,0.765
126,0.685,0.735
127,0.665,0.715
128,0.665,0.705
129,0.655,0.705
130,0.635,0.695
131,0.625,0.675
132,0.615,0.675
133,0.615,0.665
134,0.595,0.645
135,0.585,0.645
136,0.565,0.635
137,0.555,0.625
138,0.535,0.615
139,0.525,0.605
140,0.515,0.595
141,0.505,0.585
142,0.495,0.575
143,0.485,0.565
144,0.475,0.565
145,0.465,0.555
146,0.445,0.535
147,0.445,0.535
148,0.425,0.515
149,0.425,0.515
150,0.405,0.505
151,0.405,0.495
152,0.395,0.495
