'sample interval','ECG1','ECG2'
'0.0078125 sec','mV','mV'
0,-0.185,-0.085
1,-0.215,-0.105
2,-0.215,-0.105
3,-0.245,-0.105
4,-0.205,-0.095
5,-0.195,-0.095
6,-0.155,-0.095
7,-0.165,-0.095
8,-0.165,-0.105
9,-0.175,-0.095
10,-0.215,-0.125
11,-0.185,-0.115
12,-0.165,-0.085
13,-0.165,-0.085
14,-0.165,-0.115
15,-0.145,-0.105
16,-0.155,-0.095
17,-0.185,-0.105
18,-0.215,-0.125
19,-0.175,-0.125
20,-0.165,-0.105
21,-0.155,-0.115
22,-0.155,-0.125
23,-0.155,-0.115
24,-0.165,-0.115
25,-0.185,-0.115
26,-0.165,-0.125
27,-0.175,-0.135
28,-0.185,-0.115
29,-0.165,-0.115
30,-0.155,-0.125
31,-0.165,-0.135
32,-0.165,-0.115
33,-0.165,-0.115
34,-0.165,-0.125
35,-0.155,-0.115
36,-0.175,-0.115
37,-0.185,-0.115
38,-0.165,-0.125
39,-0.175,-0.115
40,-0.155,-0.115
41,-0.185,-0.115
42,-0.165,-0.125
43,-0.165,-0.115
44,-0.175,-0.115
45,-0.175,-0.115
46,-0.175,-0.125
47,-0.175,-0.125
48,-0.165,-0.115
49,-0.175,-0.115
50,-0.185,-0.135
51,-0.165,-0.105
52,-0.175,-0.115
53,-0.145,-0.105
54,-0.155,-0.115
55,-0.145,-0.085
56,-0.105,-0.055
57,-0.065,-0.005
58,-0.055,0.005
59,-0.035,0.025
60,0.025,0.055
61,0.045,-0.045
62,0.025,-0.095
63,0.025,-0.115
64,-0.035,-0.125
65,-0.095,-0.135
66,-0.125,-0.165
67,-0.125,-0.145
68,-0.105,-0.145
69,-0.105,-0.145
70,-0.105,-0.105
71,-0.065,0.095
72,-0.035,-0.075
73,0.305,-0.375
74,0.865,-0.575
75,1.005,-0.935
76,0.055,-0.955
77,-0.395,-0.355
78,-0.325,-0.135
79,-0.105,-0.115
80,-0.055,-0.095
81,-0.065,-0.115
82,-0.065,-0.125
83,-0.075,-0.105
84,-0.055,-0.075
85,-0.055,-0.075
86,-0.065,-0.075
87,-0.045,-0.075
88,-0.035,-0.055
89,-0.055,-0.055
90,-0.045,-0.055
