'sample interval','ECG1','ECG2'
'0.0078125 sec','mV','mV'
0,0.165,0.085
1,0.155,0.085
2,0.155,0.085
3,0.135,0.075
4,0.135,0.065
5,0.125,0.065
6,0.115,0.055
7,0.095,0.045
8,0.085,0.035
9,0.065,0.065
10,-0.615,-0.565
11,-0.585,-0.605
12,-0.535,-0.545
13,-0.515,-0.515
14,-0.505,-0.505
15,-0.505,-0.505
16,-0.505,-0.505
17,-0.505,-0.505
18,-0.495,-0.495
19,-0.495,-0.485
20,-0.495,-0.485
21,-0.495,-0.485
22,-0.485,-0.475
23,-0.485,-0.475
24,-0.475,-0.475
25,-0.475,-0.465
26,-0.465,-0.465
27,-0.465,-0.455
28,-0.465,-0.455
29,-0.455,-0.445
30,-0.445,-0.445
31,-0.445,-0.435
32,-0.435,-0.425
33,-0.435,-0.425
34,-0.435,-0.415
35,-0.425,-0.415
36,-0.415,-0.405
37,-0.415,-0.405
38,-0.405,-0.395
39,-0.395,-0.385
40,-0.385,-0.375
41,-0.385,-0.385
42,-0.375,-0.375
43,-0.375,-0.365
44,-0.365,-0.355
45,-0.365,-0.355
46,-0.355,-0.345
47,-0.345,-0.345
48,-0.345,-0.335
49,-0.335,-0.335
50,-0.325,-0.325
51,-0.325,-0.325
52,-0.315,-0.315
53,-0.305,-0.315
54,-0.295,-0.305
55,-0.295,-0.295
56,-0.285,-0.295
57,-0.275,-0.285
58,-0.265,-0.275
59,-0.265,-0.275
60,-0.255,-0.265
61,-0.245,-0.255
62,-0.235,-0.245
63,-0.225,-0.245
64,-0.215,-0.245
65,-0.205,-0.235
66,-0.195,-0.225
67,-0.185,-0.215
68,-0.175,-0.215
69,-0.175,-0.205
70,-0.155,-0.195
71,-0.145,-0.185
72,-0.135,-0.185
73,-0.125,-0.175
74,0.505,0.315
75,0.565,0.485
76,0.495,0.415
77,0.475,0.375
78,0.465,0.375
79,0.455,0.365
80,0.465,0.355
81,0.455,0.355
82,0.455,0.355
83,0.445,0.355
84,0.445,0.345
85,0.445,0.345
86,0.445,0.345
87,0.435,0.335
88,0.425,0.325
89,0.425,0.325
90,0.425,0.325
91,0.415,0.315
92,0.405,0.315
93,0.405,0.305
94,0.395,0.305
95,0.395,0.295
96,0.385,0.285
97,0.385,0.285
98,0.375,0.285
99,0.365,0.275
100,0.365,0.265
101,0.355,0.255
102,0.345,0.255
103,0.345,0.245
104,0.345,0.245
105,0.335,0.235
106,0.325,0.235
107,0.315,0.225
108,0.315,0.225
109,0.305,0.215
110,0.295,0.215
111,0.295,0.205
112,0.295,0.195
113,0.285,0.195
114,0.275,0.195
