'sample interval','ECG1','ECG2'
'0.0078125 sec','mV','mV'
0,0.255,0.185
1,0.245,0.175
2,0.235,0.165
3,0.235,0.165
4,0.235,0.165
5,0.225,0.155
6,0.215,0.155
7,0.215,0.145
8,0.205,0.145
9,0.205,0.145
10,0.195,0.135
11,0.195,0.125
12,0.185,0.125
13,0.175,0.125
14,0.165,0.115
15,0.175,0.105
16,0.165,0.105
17,0.155,0.095
18,0.145,0.085
19,0.125,0.075
20,-0.475,-0.335
21,-0.685,-0.645
22,-0.645,-0.625
23,-0.635,-0.615
24,-0.635,-0.615
25,-0.635,-0.605
26,-0.625,-0.605
27,-0.605,-0.595
28,-0.605,-0.585
29,-0.595,-0.585
30,-0.595,-0.585
31,-0.575,-0.565
32,-0.565,-0.565
33,-0.565,-0.555
34,-0.555,-0.555
35,-0.545,-0.535
36,-0.535,-0.535
37,-0.525,-0.525
38,-0.525,-0.525
39,-0.515,-0.515
40,-0.505,-0.505
41,-0.505,-0.495
42,-0.495,-0.495
43,-0.485,-0.485
44,-0.475,-0.475
45,-0.465,-0.465
46,-0.465,-0.465
47,-0.455,-0.465
48,-0.455,-0.445
49,-0.445,-0.445
50,-0.435,-0.445
51,-0.425,-0.425
52,-0.425,-0.425
53,-0.415,-0.415
54,-0.405,-0.415
55,-0.395,-0.405
56,-0.395,-0.405
57,-0.395,-0.395
58,-0.385,-0.395
59,-0.375,-0.385
60,-0.375,-0.375
61,-0.365,-0.375
62,-0.365,-0.375
63,-0.355,-0.365
64,-0.355,-0.355
65,-0.345,-0.345
66,-0.345,-0.345
67,-0.335,-0.345
68,-0.325,-0.335
69,-0.325,-0.325
70,-0.315,-0.325
71,-0.315,-0.325
72,-0.305,-0.315
73,-0.305,-0.305
74,-0.305,-0.305
75,-0.295,-0.305
76,-0.285,-0.295
77,-0.285,-0.285
78,-0.275,-0.285
79,-0.275,-0.285
80,-0.265,-0.275
81,-0.255,-0.265
82,-0.235,-0.255
83,-0.265,-0.275
84,0.555,0.455
85,0.555,0.475
86,0.535,0.455
87,0.535,0.445
88,0.525,0.445
89,0.515,0.445
90,0.505,0.425
91,0.505,0.425
92,0.495,0.415
93,0.485,0.415
94,0.475,0.405
95,0.465,0.395
96,0.465,0.395
97,0.455,0.385
98,0.445,0.375
99,0.435,0.365
100,0.425,0.365
101,0.425,0.355
102,0.415,0.345
103,0.415,0.345
104,0.405,0.345
105,0.395,0.335
106,0.385,0.325
107,0.375,0.315
108,0.375,0.315
109,0.365,0.315
110,0.355,0.295
111,0.345,0.295
112,0.345,0.295
113,0.335,0.285
114,0.325,0.275
115,0.325,0.275
116,0.315,0.265
117,0.315,0.265
118,0.305,0.255
119,0.295,0.255
120,0.295,0.245
121,0.285,0.235
122,0.285,0.235
123,0.275,0.225
124,0.275,0.225
125,0.265,0.215
126,0.265,0.215
127,0.255,0.205
128,0.255,0.205
129,0.245,0.195
130,0.235,0.185
131,0.235,0.185
132,0.225,0.185
133,0.225,0.175
134,0.225,0.175
135,0.215,0.165
136,0.205,0.165
137,0.205,0.165
138,0.205,0.155
