'sample interval','MLII','V1'
'0.00277778 sec','mV','mV'
0,-6.115,-5.590
1,-6.115,-5.590
2,-6.115,-5.590
3,-6.115,-5.590
4,-6.115,-5.590
5,-6.115,-5.590
6,-6.115,-5.590
7,-6.135,-5.590
8,-6.105,-5.575
9,-6.105,-5.570
10,-6.090,-5.565
11,-6.095,-5.530
12,-6.090,-5.545
13,-6.110,-5.535
14,-6.120,-5.540
15,-6.140,-5.545
16,-6.145,-5.565
17,-6.150,-5.570
18,-6.165,-5.575
19,-6.145,-5.565
20,-6.155,-5.545
21,-6.135,-5.525
22,-6.135,-5.520
23,-6.115,-5.505
24,-6.110,-5.500
25,-6.110,-5.505
26,-6.115,-5.505
27,-6.125,-5.525
28,-6.125,-5.520
29,-6.135,-5.535
30,-6.130,-5.530
31,-6.110,-5.525
32,-6.140,-5.520
33,-6.130,-5.500
34,-6.135,-5.510
35,-6.120,-5.490
36,-6.110,-5.495
37,-6.115,-5.505
38,-6.130,-5.515
39,-6.125,-5.535
40,-6.135,-5.540
41,-6.115,-5.530
42,-6.125,-5.535
43,-6.125,-5.540
44,-6.105,-5.530
45,-6.105,-5.490
46,-6.100,-5.485
47,-6.080,-5.470
48,-6.060,-5.490
49,-6.080,-5.490
50,-6.060,-5.505
51,-6.065,-5.500
52,-6.065,-5.510
53,-6.060,-5.505
54,-6.070,-5.525
55,-6.055,-5.500
56,-6.035,-5.505
57,-6.025,-5.490
58,-6.010,-5.490
59,-5.995,-5.480
60,-5.980,-5.500
61,-5.985,-5.505
62,-5.980,-5.505
63,-5.965,-5.500
64,-5.970,-5.530
65,-5.970,-5.505
66,-5.960,-5.495
67,-5.940,-5.510
68,-5.925,-5.485
69,-5.895,-5.470
70,-5.875,-5.470
71,-5.845,-5.445
72,-5.825,-5.455
73,-5.805,-5.450
74,-5.790,-5.475
75,-5.790,-5.485
76,-5.780,-5.485
77,-5.770,-5.485
78,-5.750,-5.495
79,-5.725,-5.505
80,-5.720,-5.500
81,-5.680,-5.485
82,-5.650,-5.470
83,-5.640,-5.475
84,-5.615,-5.480
85,-5.595,-5.480
86,-5.590,-5.490
87,-5.570,-5.520
88,-5.570,-5.525
89,-5.565,-5.520
90,-5.555,-5.530
91,-5.545,-5.520
92,-5.535,-5.520
93,-5.505,-5.500
94,-5.490,-5.500
